"name","noc","discipline","event"
"MORIYASU Hajime","Japan","Football","Men"
"MOTOMIYA Makihiro","Japan","Water Polo","Women"
"MULATI Adilijiang","People's Republic of China","Basketball",""
"NAGAE Shoji","Japan","Volleyball",""
"NAKADA Kumi","Japan","Volleyball","Women"
"NAKAGAICHI Yuichi","Japan","Volleyball","Men"
"NISHIDA Takumi","Japan","Rugby Sevens",""
"OCA GAIA Miguel Angel","Spain","Water Polo","Women"
"OMOTO Yoji","Japan","Water Polo","Men"
"PALERMI Giovanna","Italy","Baseball/Softball","Softball"
"PARADELO David","Canada","Water Polo","Women"
"PAUL Henry","Canada","Rugby Sevens","Men"
"PIBIRI Rossella","Italy","Artistic Swimming",""
"PISKAREVA Ekaterina","ROC","Artistic Swimming",""
"PIZZOLINI Federico","Italy","Baseball/Softball","Softball"
"POPOVICH Gregg","United States of America","Basketball","Men"
"POROBIC Petar","People's Republic of China","Water Polo","Women"
"POTTER Anthony","Australia","Hockey","Men"
"POWELL Katrina","Australia","Hockey","Women"
"PRADO BRANAS Joaquin","Spain","Basketball",""
"PRIESTMAN Bev","Canada","Football","Women"
"RECKINGER Xavier","Germany","Hockey","Women"
"REQUENA PERICAS Judit","Spain","Artistic Swimming","Duet"
"REQUENA PERICAS Judit","Spain","Artistic Swimming","Team"
"RIBERA ROMANS Jordi","Spain","Handball","Men"
"RIISE Hege","Great Britain","Football","Women"
"RILLIE John","Australia","Basketball",""
"RIPOLL Sylvain","France","Football","Men"
"ROEDL Henrik","Germany","Basketball","Men"
"ROQUES Anthony","Great Britain","Rugby Sevens","Men"
"SACCHETTI Romeo","Italy","Basketball","Men"
"SAMMELVUO Tuomas","ROC","Volleyball","Men"
"SCARIOLO Sergio","Spain","Basketball","Men"
"SEO Chun Oh","Republic of Korea","Rugby Sevens","Men"
"SERMANNI Tom","New Zealand","Football","Women"
"SHAW Graham","New Zealand","Hockey","Women"
"SIGURDSSON Dagur","Japan","Handball","Men"
"SMITH Darren","New Zealand","Hockey","Men"
"SMITH Mark","Canada","Baseball/Softball","Softball"
"SOYEZ Frederic","Spain","Hockey","Men"
"SPERAW John","United States of America","Volleyball","Men"
"SPERONI Stefania","Great Britain","Artistic Swimming","Duet"
"STALEY Dawn","United States of America","Basketball","Women"
"STANIFORTH Dave","Australia","Hockey",""
"SUNDHAGE Pia Mariane","Brazil","Football","Women"
"SZAUDER Gabor","Canada","Artistic Swimming","Duet"
"SZAUDER Gabor","Canada","Artistic Swimming","Team"
"TAKAKURA Asako","Japan","Football","Women"
"TAKITA Risako","Japan","Artistic Swimming",""
"TARR Heather","United States of America","Baseball/Softball","Softball"
"THOMAIDIS Lisa","Canada","Basketball","Women"
"TILLIE Laurent","France","Volleyball","Men"
"TOMOMATSU Yumiko","Italy","Artistic Swimming",""
"TURNER Glenn","New Zealand","Hockey","Men"
"UDOKA Ime","United States of America","Basketball",""
"UDOVICIC Dejan","United States of America","Water Polo","Men"
"UTKIN Volodymyr","Ukraine","Artistic Swimming",""
"UTSUGI Reika","Japan","Baseball/Softball","Softball"
"van GUNDY Jeff","United States of America","Basketball",""
"VEGA HERRERO Anna","Spain","Artistic Swimming",""
"VIVER ARZA Carlos Enrique","Spain","Handball","Women"
"VORONOVA Elena","ROC","Artistic Swimming","Duet"
